Author,author_id
J.K. Rowling/Mary GrandPré,1
J.K. Rowling,2
W. Frederick Zimmerman,3
Douglas Adams,4
Douglas Adams/Stephen Fry,5
Bill Bryson,6
J.R.R. Tolkien,7
J.R.R. Tolkien/Alan  Lee,8
Chris   Smith/Christopher  Lee/Richard Taylor,9
Jude Fisher,10
Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,11
Gary Paulsen,12
Donna Ickes/Edward Sciranko/Keith Vasconcelles,13
Molly Hatchet,14
Dale Peck,15
Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,16
Delia Sherman,17
Patricia A. McKillip,18
Zilpha Keatley Snyder,19
Kate Horsley,20
Philippa Carr,21
Edward P. Jones,22
Edward P. Jones/Kevin R. Free,23
Satyajit Das,24
Mark Smylie,25
John McPhee/William Howarth,26
John McPhee,27
Wendy Wasserstein,28
Heidi Hayes Jacobs,29
Heidi Boyd,30
Heidi Baker/Rolland Baker,31
Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,32
Rolland Baker/Heidi Baker,33
Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,34
Heidi Fleiss/Libby Keatinge,35
Frank Herbert,36
Brian Herbert,37
Frank Herbert/Brian Herbert/Kevin J. Anderson,38
Gary Russell,39
Bryce Courtenay,40
John C. Maxwell/Stephen R. Graves/Thomas G. Addington,41
Dave Lakhani,42
Louis E. Catron,43
Adam Ginsberg,44
Marsha Collier,45
Chris Malta/Lisa Suttora,46
Julia Wilkinson,47
Lucas Carlson/Leonard Richardson,48
Ruby Ann Boxcar,49
Rob Orsini,50
Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,51
Leo Tolstoy/David Magarshack/Priscilla Meyer,52
Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,53
Marianne Sturman/Leo Tolstoy,54
Leo Tolstoy/Amy Mandelker/Constance Garnett,55
Leo Tolstoy/Louise Maude/Aylmer Maude,56
Leo Tolstoy/Constance Garnett/Amy Mandelker,57
Gloria Goldreich,58
Anthony Thorlby,59
Mulk Raj Anand/E.M. Forster,60
