Author,author_id
J.K. Rowling,1
Mary GrandPré,2
W. Frederick Zimmerman,3
Douglas Adams,4
Stephen Fry,5
Bill Bryson,6
J.R.R. Tolkien,7
Alan  Lee,8
Chris   Smith,9
Christopher  Lee,10
Richard Taylor,11
Jude Fisher,12
Dave Thomas,13
David Heinemeier Hansson,14
Leon Breedt,15
Mike Clark,16
Thomas  Fuchs,17
Andreas  Schwarz,18
Gary Paulsen,19
Donna Ickes,20
Edward Sciranko,21
Keith Vasconcelles,22
Molly Hatchet,23
Dale Peck,24
Angela Knight,25
Sahara Kelly,26
Judy Mays,27
Marteeka Karland,28
Kate Douglas,29
Shelby Morgen,30
Lacey Savage,31
Kate Hill,32
Willa Okati,33
Delia Sherman,34
Patricia A. McKillip,35
Zilpha Keatley Snyder,36
Kate Horsley,37
Philippa Carr,38
Edward P. Jones,39
Kevin R. Free,40
Satyajit Das,41
Mark Smylie,42
John McPhee,43
William Howarth,44
Wendy Wasserstein,45
Heidi Hayes Jacobs,46
Heidi Boyd,47
Heidi Baker,48
Rolland Baker,49
Johanna Spyri,50
Beverly Cleary,51
Angelo  Rinaldi,52
Heidi Murkoff,53
Sharon Mazel,54
Arlene Eisenberg,55
Sandee Hathaway,56
Mark D. Widome,57
Heidi Fleiss,58
Libby Keatinge,59
Frank Herbert,60
Brian Herbert,61
Kevin J. Anderson,62
Gary Russell,63
Bryce Courtenay,64
John C. Maxwell,65
Stephen R. Graves,66
Thomas G. Addington,67
Dave Lakhani,68
Louis E. Catron,69
Adam Ginsberg,70
Marsha Collier,71
Chris Malta,72
Lisa Suttora,73
Julia Wilkinson,74
Lucas Carlson,75
Leonard Richardson,76
Ruby Ann Boxcar,77
Rob Orsini,78
Leo Tolstoy,79
Richard Pevear,80
Larissa Volokhonsky,81
David Magarshack,82
Priscilla Meyer,83
John Bayley,84
Marianne Sturman,85
Amy Mandelker,86
Constance Garnett,87
Louise Maude,88
Aylmer Maude,89
Gloria Goldreich,90
Anthony Thorlby,91
Mulk Raj Anand,92
E.M. Forster,93
John Banville,94
Eliot Ness,95
Oscar Fraley,96
Narendra Jadhav,97
V.T. Rajshekar,98
Y.N. Kly,99
Vasant Moon,100
Gail Omvedt,101
Eleanor Zelliot,102
Barry R. Cournoyer,103
John Carratello,104
Patty Carratello,105
Theresa Wright,106
George Smoot,107
Keay Davidson,108
Madeleine L'Engle,109
Tara MacCarthy,110
Cynthia Harrod-Eagles,111
Charles Todd,112
Ewan McGregor,113
Charley Boorman,114
Robert Uhlig,115
Daniel Abraham,116
Charles Willeford,117
James Lee Burke,118
Lawrence Block,119
Elmore Leonard,120
Tom Wolfe,121
Edward Lear,122
Laura Huliska-Beith,123
Edward Mendelson,124
Quentin Blake,125
Henry Miller,126
Thomas H. Moore,127
Jiří Níl,128
Henry James,129
Patricia Crick,130
Gabriel Brownstein,131
Mary Cregan,132
Marguerite Duras,133
Barbara Bray,134
Richard Seever,135
Kahlil Gibran,136
Suheil Bushrui,137
Salma H. Al-Kuzbari,138
Jean Gibran,139
جبران خليل جبران,140
John Walbridge,141
Robin Waterfield,142
Anthony Rizcallah Ferris,143
Robert Louis Stevenson,144
Scott McKowen,145
N.C. Wyeth,146
Timothy Meis,147
Milo Winter,148
Deidre S. Laiken,149
A.J. McAllister,150
Ralph Ginzburg,151
Gabriel García Márquez,152
Dr. Seuss,153
Debbie Raleigh,154
Kevin Henkes,155
Patrick Süskind,156
Robert A. Heinlein,157
Nick  Webb,158
Terry Jones,159
Christopher Cerf,160
Susan Nanus,161
Norton Juster,162
Harry G. Frankfurt,163
Nick Flynn,164
Garry Wills,165
Abraham Lincoln,166
Michael McCurdy,167
Don DeLillo,168
Thomas Pynchon,169
Christophe Claro,170
Brice Matthieussent,171
Richard Fariña,172
Joan Didion,173
John Leonard,174
David Thomson,175
Paul Auster,176
Art Spiegelman,177
Luc Sante,178
Peter Moon,179
Preston B. Nichols,180
Nina Helms,181
Jared Diamond,182
Stephen Leeb,183
Glen C. Strathy,184
Joseph A. Tainter,185
Robert D. Putnam,186
Philip K. Howard,187
Joy Harjo,188
Gloria Bird,189
Beth Cuthand,190
Valerie Martinez,191
Patricia Blanco,192
Nikola Tesla,193
Marc J.  Seifer,194
William H. Terbo,195
Carol Dommermuth-Costa,196
David Hatcher Childress,197
Julie Elizabeth Leto,198
Leslie Kelly,199
Kimberly Raye,200
Chad Fowler,201
Andy Hunt,202
Maureen Kelly,203
CliffsNotes,204
William Golding,205
Victor Davis Hanson,206
Ephraim Sevela,207
Antonina W. Bouis,208
Alice Sebold,209
Sharyn McCrumb,210
Dave Shea,211
Molly E. Holzschlag,212
Elizabeth Castro,213
Michael Ochs,214
Patrick Javault,215
Ulrike Wasel,216
Chuck Klosterman,217
Jane Feather,218
Robert M. Pirsig,219
Kevin O'Malley,220
Carol Heyer,221
Scott Goto,222
Ronald L. DiSanto,223
Thomas J. Steele,224
John Harold Haynes,225
Catharine M. Fishel,226
Bill Gardner,227
Hugh McLean,228
Henry Gifford,229
Ayn Rand,230
Leonard Peikoff,231
Nathaniel Branden,232
Alan Greenspan,233
Robert Hessen,234
Michael S. Berliner,235
J.J. Isler,236
Peter Isler,237
Colin  Wells,238
Billy Collins,239
Christopher Caswell,240
Kevin Trudeau,241
Bernard Malamud,242
Kevin Baker,243
Anne Tyler,244
Gary Colombo,245
Bonnie Lisle,246
Thomas E. Skidmore,247
Peter H. Smith,248
Philip Roth,249
Jon   Stewart,250
Gregory Rabassa,251
J.S. Bernstein,252
Edith Grossman,253
Brian Greene,254
Upasika Kee Nanayon,255
Thanissaro Bhikkhu,256
Rob Humphreys,257
Beth Chaplin,258
Rebecca Morrill,259
Lonely Planet,260
Sarah Johnstone,261
Steve Fallon,262
Tom Masters,263
Mark Honan,264
H.G. Bissinger,265
Neal Stephenson,266
J. Frederick George,267
Pedro Jorge Romero,268
George F. Jewsbury,269
Stephen  Bury,270
Guy Abadia,271
Dan Harrington,272
Bill Robertie,273
Donald A. Norman,274
Alex C. Jones,275
Diane M. Hanson,276
Stephen K. Ray,277
Paulo Coelho,278
Alan R. Clarke,279
James Noel Smith,280
Özdemir İnce,281
Hiromu Arakawa,282
Akira Watanabe,283
Mœbius,284
Robert   Harris,285
Edward Bulwer-Lytton,286
John Gregory Betancourt,287
John Steinbeck,288
Neil Strauss,289
Ellen Raskin,290
Arthur Golden,291
David        James,292
Peggy Mulloy,293
Rob Marshall,294
Mineko Iwasaki,295
Rande Brown,296
J. Torres,297
Eric  Kim,298
Margaret Johnson,299
Philip Prowse,300
Gary Chapman,301
Dan Brown,302
Raúl Amundaray,303
Daniel Roche,304
P.J. Parrish,305
Thomas J. Stanley,306
William D. Danko,307
Napoleon Hill,308
Mike   Mason,309
Riki Anne Wilchins,310
Donald J. Trump,311
Tony Schwartz,312
George S. Clason,313
Trevanian,314
Gisela Stege,315
David McCullough,316
Peter  Stone,317
Sherman Edwards,318
Robert J. Allison,319
Pearl S. Buck,320
Rick Warren,321
Eric Schlosser,322
Lisa See,323
John Grisham,324
Robert A. Caro,325
Stephen W. Frey,326
Bill Phillips,327
Michael D'Orso,328
Pamela Peeke,329
Cindy Crawford,330
Robert G. Hagstrom,331
Bill Miller,332
Kenneth L. Fisher,333
Robert P. Miles,334
Tom Osborne,335
Marvin N. Olasky,336
John R. Perry,337
Barbara Park,338
Denise Brunkus,339
Sarah Mlynowski,340
Michael   Lewis,341
Frank McConnell,342
Ursula Ferrigno,343
Jason Lowe,344
Maxine  Clark,345
Giada De Laurentiis,346
Victoria Pearson,347
Tyler Florence,348
Petrina Tinslay,349
JoAnn Cianciulli,350
Bill Bettencourt,351
Bobby Flay,352
Steven D. Levitt,353
Stephen J. Dubner,354
Barry Eisler,355
Yann Martel,356
Nicole Martel,357
Emile Martel,358
Robert Templer,359
James Frey,360
Python Bonkers,361
James Pinocchio,362
Pablo Fenjves,363
James M. Kouzes,364
Barry Z. Posner,365
Donald T. Phillips,366
Gary Yukl,367
Rudolph W. Giuliani,368
John Gray,369
Ron  Louis,370
David Copeland,371
Jean M. Auel,372
Doug Walsh,373
Robert Greene,374
Joost Elffers,375
Steven Pressfield,376
Margaret Weis,377
Tracy Hickman,378
Thomas Harlan,379
Robert McKee,380
Stephen J. Rosen,381
David J. Danelo,382
Plato,383
Walter Hamilton,384
C.J. Rowe,385
Benjamin Jowett,386
Josef Pieper,387
Richard Winston,388
Clara Winston,389
C.D.C. Reeve,390
James H. Nichols Jr.,391
Chris Emlyn-Jones,392
Herodotus,393
Aubrey de Sélincourt,394
John M. Marincola,395
Henry Francis Cary,396
Carolyn Dewald,397
Andrew Robert Burn,398
Jennifer Tolbert Roberts,399
Walter Blanco,400
Edward Henry Blakeney,401
George Rawlinson,402
Rosalind Thomas,403
Peter Grene,404
Homer,405
Robert Fagles,406
Bernard Knox,407
Stanley Lombardo,408
Sheila Murnaghan,409
Robert Fitzgerald,410
Andrew Ford,411
E.V. Rieu,412
Peter Jones,413
D.C.H. Rieu,414
W.H.D. Rouse,415
D.S. Carne-Ross,416
Richmond Lattimore,417
Virgil,418
Barbara Weiden Boyd,419
Henry Rushton Fairclough,420
G.P. Goold,421
Ed Roberson,422
Cecil Day-Lewis,423
Paul  Kirk,424
William Shakespeare,425
Stephen Orgel,426
A.R. Braunmuller,427
Harold Bloom,428
Rex Gibson,429
Reduced Shakespeare Company,430
Adam Long,431
Daniel Singer,432
Jess Winfield,433
Margaret Jull Costa,434
Clifford E. Landers,435
Kâmuran Şipal,436
Carla Lynn Stockton,437
Terri Mategrano,438
Giorgio De Santillana,439
Hertha Von Dechend,440
Thucydides,441
C.F. Smith,442
Paul Woodruff,443
Steven Lattimore,444
Cynthia W. Shelmerdine,445
Euripides,446
David Grene,447
Rex Warner,448
Ralph Gladstone,449
Emily Townsend Vermeule,450
Elizabeth Wyckoff,451
William Arrowsmith,452
Frank William Jones,453
Charles R. Walker,454
Anne Carson,455
Moses Hadas,456
John Maclean,457
John Frederick Nims,458
Ronald Frederick Willetts,459
Witter Bynner,460
John Davie,461
Richard Rutherford,462
David Kovacs,463
Donald J. Mastronarde,464
Reginald Gibbons,465
Peter H. Burian,466
David Thompson,467
J. Michael Walton,468
Wole Soyinka,469
James Morwood,470
Georgia Ann Machemer,471
Michael   Collier,472
William Allan,473
Robert J. Milch,474
Pantelis Michelakis,475
Aeschylus,476
Seth Benardete,477
Alan Shapiro,478
William Bedell Stanford,479
Peter Meineck,480
Helene P. Foley,481
Philip Vellacott,482
Ted Hughes,483
David R. Slavitt,484
Smith Palmer Bovie,485
Simon Goldhill,486
George Thomson,487
Richard Seaford,488
E.D.A. Morshead,489
Sophocles,490
John Moore,491
Michael Jameson,492
Paul Roche,493
Dudley Fitts,494
Charles Segal,495
E.F. Watling,496
Edith Hall,497
H.D.F. Kitto,498
J.E. Thomas,499
Roger D. Dawe,500
Cynthia Brantley Johnson,501
Aristophanes,502
Douglass Parker,503
Jeffrey Henderson,504
Alan H. Sommerstein,505
Kenneth James Dover,506
David B. Barrett,507
W. John Campbell,508
Douglas M. MacDowell,509
S. Douglas Olson,510
Sarah Ruden,511
David Brett,512
Andrea Wilson Nightingale,513
Mark Haddon,514
George Pelecanos,515
Annie Proulx,516
David    Allen,517
Geoffrey M. Bellman,518
Ricardo Piglia,519
Amanda Hopkinson,520
Karen  O'Connor,521
Larry J. Sabato,522
Ernesto Sabato,523
Augustine of Hippo,524
John E. Rotelle,525
Maria Boulding,526
Thomas Merton,527
Marcus Dods,528
Bruce Harbert,529
Peter R.L. Brown,530
D.W. Robertson Jr.,531
Frank Sheed,532
Henry Chadwick,533
Boniface Ramsey,534
Edmund Hill,535
Anthony Bourdain,536
Ovid,537
Allen Mandelbaum,538
David Raeburn,539
Denis Feeney,540
Charles    Martin,541
William Scovil Anderson,542
Norma Goldman,543
Jacob E. Nyenhuis,544
J.H. Mozley,545
Peter Green,546
Frank Justus Miller,547
Michael  Rossi,548
Michael C.J. Putnam,549
Richard Johnsonbaugh,550
Martin Kalin,551
Daniel Pinchbeck,552
Lee Fukui,553
Jon Ronson,554
Daniel Duane,555
Jon Krakauer,556
John Eldredge,557
Jung Chang,558
Nelson DeMille,559
Catherine Coulter,560
Jack London,561
Avi,562
Judy Sierra,563
Marc Brown,564
Charles P. Rubenstein,565
Barbara Ehrenreich,566
Michel Foucault,567
Robert Hurley,568
Sue Birtwistle,569
Sue Conklin,570
Susie Conklin,571
Jane Austen,572
Vivien Jones,573
George Saintsbury,574
Hugh  Thomson,575
Carol Howard,576
David  Roberts,577
Valerian Albanov,578
Alison Anderson,579
Валериан Альбанов,580
Thomas L. Friedman,581
David McClung,582
Peter Schaerer,583
Arthur J. Roth,584
Louisa May Alcott,585
Paula Danziger,586
Jessie Willcox Smith,587
Frank T. Merrill,588
Elaine Showalter,589
Charles Dickens,590
Keith Cox,591
Gillen D'Arcy Wood,592
SparkNotes,593
Simon Schama,594
James B. Stewart,595
Julia Golding,596
Mary Gaitskill,597
Hablot Knight Browne,598
Gish Jen,599
Daniel Pool,600
Jane Smiley,601
Patricia Ingham,602
Colleen Sexton,603
Philip Nel,604
Sean O'Brien,605
B.B. Rogers,606
Radcliffe G. Edmonds III,607
Robert Mayhew,608
F.W. Hall,609
W.M. Geldart,610
Paul Anthony Cartledge,611
Raymond Chandler,612
Frank MacShane,613
Tom Hiney,614
Paul Murray,615
Patti   Davis,616
Masaki Yamada,617
Yuji Oniki,618
Carl Gustav Horn,619
Daniel C. Dennett,620
Nicholas Humphrey,621
Douglas R. Hofstadter,622
Stephen Hawking,623
Leonard Mlodinow,624
David Filkin,625
Kip S. Thorne,626
Igor Novikov,627
Timothy Ferris,628
Alan Lightman,629
Richard     Price,630
John Boslough,631
Roger Penrose,632
Lawrence M. Krauss,633
Phillip Glasier,634
Peter   Schwartz,635
David Harriman,636
Nancy L. Mace,637
Peter V. Rabins,638
Jorge Cruise,639
Thom Hartmann,640
Joseph Chilton Pearce,641
Neale Donald Walsch,642
Michael Cunningham,643
Malcolm Gladwell,644
Ted Dekker,645
Mark Hoppus,646
Anne Hoppus,647
Alex Gaskarth,648
Karen Joy Fowler,649
Deirdre Le Faye,650
James Kinsley,651
Anna Massey,652
Richard S. Hartmetz,653
Maurgaux Motin,654
Deidre Shauna Lynch,655
Kim Wilson,656
Tom Carpenter,657
Ernest Hemingway,658
Donald Sutherland,659
Jeanne Sallade Criswell,660
Gary Carey,661
Julian Barnes,662
Gustave Flaubert,663
Francis Steegmuller,664
Douglas Parmée,665
Roger Whitehouse,666
Geoffrey Wall,667
Robert Baldick,668
