genres,genre_id
Fantasy,1
Young Adult,2
Fiction,3
"Fantasy,Magic",4
Childrens,5
Adventure,6
Audiobook,7
"Childrens,Middle Grade",8
Classics,9
Science Fiction Fantasy,10
"Fantasy,Supernatural",11
Mystery,12
"Fantasy,Paranormal",13
Novels,14
"Paranormal,Wizards",15
Science Fiction,16
Humor,17
"Humor,Comedy",18
"European Literature,British Literature",19
Nonfiction,20
Science,21
History,22
"Science,Physics",23
"Science,Popular Science",24
Historical,25
Philosophy,26
Unfinished,27
Travel,28
"Cultural,Africa",29
"Autobiography,Memoir",30
"Eastern Africa,Kenya",31
Biography,32
"Travel,Travelogue",33
"Language,Writing",34
"Humanities,Language",35
Reference,36
"Humanities,Linguistics",37
"Language,Words",38
"Reference,Dictionaries",39
"Writing,Books About Books",40
"Cultural,Australia",41
"Writing,Essays",42
"Literature,American",43
The United States Of America,44
"Fantasy,Epic Fantasy",45
"Fantasy,High Fantasy",46
Literature,47
Art,48
Media Tie In,49
"Culture,Film",50
Adult,51
"Computer Science,Programming",52
"Science,Technology",53
"Computer Science,Technical",54
"Computer Science,Computers",55
"Computer Science,Software",56
"Science,Computer Science",57
"Internet,Web",58
"Computer Science,Coding",59
"Adventure,Survival",60
"Academic,School",61
Realistic Fiction,62
"Academic,Read For School",63
Education,64
"Biography,Autobiography",65
Biography Memoir,66
"Criticism,Literary Criticism",67
Criticism,68
Romance,69
Anthologies,70
"Adult Fiction,Erotica",71
"Romance,Paranormal Romance",72
"Paranormal,Shapeshifters",73
"Romance,Erotic Romance",74
"Fantasy,Urban Fantasy",75
"Paranormal,Fairies",76
"Fairies,Fae",77
"Mythology,Mermaids",78
"Fantasy,Fairy Tales",79
"Young Adult,Young Adult Fantasy",80
"Childrens,Juvenile",81
"Young Adult,Coming Of Age",82
"Historical,Historical Fiction",83
"Cultural,Ireland",84
"Literature,14th Century",85
"Historical,Medieval",86
Literary Fiction,87
"European Literature,Irish Literature",88
LGBT,89
"Romance,Historical Romance",90
Gothic,91
"Literature,19th Century",92
"Cultural,African American",93
Book Club,94
Race,95
"Economics,Finance",96
Economics,97
Business,98
"Currency,Money",99
Politics,100
"Games,Role Playing Games",101
"Writing,Journalism",102
"Environment,Nature",103
"Anthologies,Collections",104
Transport,105
"Health,Medicine",106
Medical,107
Health,108
Environment,109
"Science,Geology",110
"Science,Natural History",111
"Science,Engineering",112
"Science,Geography",113
War,114
"War,Military Fiction",115
"Military,Military History",116
Food and Drink,117
"Food and Drink,Food",118
Short Stories,119
Plays,120
Drama,121
"Plays,Theatre",122
Feminism,123
Contemporary,124
Womens,125
"Literature,20th Century",126
Teaching,127
"Art,Crafts",128
"Crafts,Beading",129
Christian,130
"Religion,Faith",131
"Religion,Christianity",132
Spirituality,133
"Christian,Christian Non Fiction",134
"Christian,Christian Living",135
Inspirational,136
"Childrens,Childrens Classics",137
Parenting,138
Self Help,139
Family,140
Jewellery,141
"Crafts,Jewellery Making",142
"Space,Space Opera",143
Space,144
Speculative Fiction,145
"Southern Africa,South Africa",146
Leadership,147
Productivity,148
Performing Arts,149
How To,150
"Computers,Internet",151
Computers,152
Horror,153
"Food and Drink,Cookbooks",154
"Cultural,Russia",155
"Literature,Russian Literature",156
Literary Criticism,157
"Womens Fiction,Chick Lit",158
Womens Fiction,159
"Cultural,India",160
"Asian Literature,Indian Literature",161
"Cultural,Asia",162
"Spy Thriller,Espionage",163
"Crime,True Crime",164
"Mystery,Crime",165
"North American Hi...,American History",166
"Social Movements,Social Justice",167
Anthropology,168
Social Science,169
"Science,Astronomy",170
"Science,History Of Science",171
"Science Fiction,Time Travel",172
"Historical,Stuart",173
"Literature,17th Century",174
"Mystery,Historical Mystery",175
"Thriller,Mystery Thriller",176
"Mystery,Detective",177
"Transport,Motorcycle",178
"Sports,Motorcycling",179
"Science Fiction,Steampunk",180
Epic,181
"Mystery,Noir",182
Thriller,183
"Mystery,Hard Boiled",184
"Academic,College",185
Poetry,186
"Childrens,Picture Books",187
"Cultural,France",188
"Classics,Modern Classics",189
"Literature,Banned Books",190
Sexuality,191
Roman,192
"American,Americana",193
"Classics,Classic Literature",194
"Historical,Victorian",195
"European Literature,French Literature",196
"War,World War II",197
Religion,198
"Religion,Theology",199
"Cultural,Lebanon",200
"Adventure,Pirates",201
"Childrens,Chapter Books",202
Magical Realism,203
"European Literature,Spanish Literature",204
"Cultural,Latin American",205
Animals,206
"Historical,Regency",207
"Romance,Clean Romance",208
"European Literature,German Literature",209
Own,210
"Science Fiction,Aliens",211
Psychology,212
Sociology,213
Cultural,214
"Mental Health,Mental Illness",215
"Military History,Civil War",216
"Politics,Presidents",217
"American History,American Civil War",218
New York,219
"Literature,21st Century",220
Music,221
"Cultural,Greece",222
Modern,223
"Cultural,Counter Culture",224
Death,225
Adult Fiction,226
"Pseudoscience,Conspiracy Theories",227
"Culture,Society",228
"Environment,Peak Oil",229
"History,Archaeology",230
"Politics,Political Science",231
Law,232
"Sports,Sports",233
"Romance,Contemporary Romance",234
"Contemporary Romance,Sports Romance",235
"Category Romance,Harlequin",236
"Harlequin,Harlequin Blaze",237
"Sports,Baseball",238
"Science Fiction,Dystopia",239
"Young Adult,High School",240
"History,Ancient History",241
"Literature,Ancient",242
"History,World History",243
"Mystery,Cozy Mystery",244
"American,Southern",245
Suspense,246
Design,247
"Design,Website Design",248
Textbooks,249
"Art,Photography",250
"Culture,Pop Culture",251
"Art,Art Design",252
"Historical,Georgian",253
"Fairy Tales,Princesses",254
"Childrens,Storytime",255
"Fairy Tales,Fractured Fairy Tales",256
"Religion,Buddhism",257
"Buddhism,Zen",258
Architecture,259
"Business,Amazon",260
"History,Medieval History",261
"Religion,Islam",262
"Health,Nutrition",263
"Sports,Fitness",264
"Parenting,Adoption",265
