genres,genre_id
"Fantasy;Young Adult;Fiction;Fantasy,Magic;Childrens;Adventure;Audiobook;Childrens,Middle Grade;Classics;Science Fiction Fantasy",1
"Fantasy;Fiction;Young Adult;Fantasy,Magic;Childrens;Childrens,Middle Grade;Audiobook;Adventure;Classics;Science Fiction Fantasy",2
"Fantasy;Fiction;Young Adult;Fantasy,Magic;Childrens;Childrens,Middle Grade;Adventure;Audiobook;Classics;Science Fiction Fantasy",3
"Fantasy;Young Adult;Fiction;Fantasy,Magic;Adventure;Fantasy,Supernatural;Mystery;Childrens;Fantasy,Paranormal;Childrens,Middle Grade",4
Fiction,5
"Fantasy;Fiction;Young Adult;Fantasy,Magic;Childrens;Classics;Adventure;Science Fiction Fantasy;Novels;Paranormal,Wizards",6
"Science Fiction;Fiction;Humor;Fantasy;Classics;Humor,Comedy;Science Fiction Fantasy;Adventure;Novels;European Literature,British Literature",7
"Science Fiction;Fiction;Humor;Classics;Fantasy;Humor,Comedy;Science Fiction Fantasy;Audiobook;Adventure;Novels",8
"Nonfiction;Science;History;Audiobook;Humor;Science,Physics;Science,Popular Science;Historical;Philosophy;Unfinished",9
"Travel;Nonfiction;Cultural,Africa;Autobiography,Memoir;Humor;Eastern Africa,Kenya;Biography;Adventure;Travel,Travelogue;History",10
"Nonfiction;Language,Writing;Humanities,Language;Reference;Humanities,Linguistics;Humor;Language,Words;Reference,Dictionaries;History;Writing,Books About Books",11
"Travel;Nonfiction;Humor;Cultural,Australia;Autobiography,Memoir;Audiobook;History;Adventure;Biography;Travel,Travelogue",12
"Nonfiction;Travel;Humor;Autobiography,Memoir;Writing,Essays;Biography;Audiobook;Literature,American;The United States Of America;Humor,Comedy",13
"Travel;Nonfiction;Humor;Autobiography,Memoir;Audiobook;Literature,American;Biography;The United States Of America;Travel,Travelogue;Humor,Comedy",14
"Travel;Nonfiction;Humor;Autobiography,Memoir;Biography;Audiobook;Travel,Travelogue;Adventure;Writing,Essays;Humor,Comedy",15
"Travel;Nonfiction;Humor;Autobiography,Memoir;European Literature,British Literature;Biography;Audiobook;Humor,Comedy;History;Travel,Travelogue",16
"Nonfiction;History;Humanities,Language;Humanities,Linguistics;Humor;Audiobook;Language,Writing;Travel;Reference;Science",17
"Fantasy;Fiction;Classics;Adventure;Science Fiction Fantasy;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Young Adult;Literature;Fantasy,Magic",18
"Fantasy;Classics;Fiction;Adventure;Science Fiction Fantasy;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Literature;Novels;Young Adult",19
"Fantasy;Classics;Fiction;Adventure;Fantasy,High Fantasy;Science Fiction Fantasy;Fantasy,Epic Fantasy;Audiobook;Young Adult;Novels",20
"Fantasy;Art;Fiction;Reference;Media Tie In;Culture,Film;Classics;Adventure;Fantasy,High Fantasy;Adult",21
"Fantasy;Reference;Media Tie In;Culture,Film",22
"Computer Science,Programming;Nonfiction;Science,Technology;Computer Science,Technical;Reference;Computer Science,Computers;Computer Science,Software;Science,Computer Science;Internet,Web;Computer Science,Coding",23
"Young Adult;Fiction;Classics;Adventure;Adventure,Survival;Childrens,Middle Grade;Childrens;Academic,School;Realistic Fiction;Academic,Read For School",24
Education,25
